,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
0,1993,-9.0,-3.0,1.0,-1.0,6.0,13.0,15.0,13.0,9.0,11.0,4.0,-3.0
1,1993,-9.0,-4.0,1.0,6.0,7.0,14.0,16.0,17.0,9.0,9.0,8.0,-2.0
2,1993,-4.0,-2.0,1.0,6.0,7.0,13.0,17.0,16.0,11.0,9.0,7.0,-1.0
3,1993,-9.0,-3.0,0.0,4.0,10.0,13.0,14.0,17.0,8.0,6.0,6.0,-2.0
4,1993,-5.0,-4.0,-1.0,6.0,9.0,10.0,16.0,20.0,6.0,4.0,9.0,-2.0
5,1993,-4.0,-2.0,-5.0,3.0,9.0,12.0,19.0,17.0,7.0,12.0,9.0,-3.0
6,1993,-3.0,-1.0,-2.0,3.0,10.0,16.0,16.0,16.0,10.0,9.0,9.0,-3.0
7,1993,-3.0,-4.0,-2.0,6.0,9.0,15.0,10.0,17.0,14.0,11.0,4.0,-1.0
8,1993,-4.0,-5.0,-5.0,4.0,10.0,18.0,17.0,14.0,15.0,10.0,5.0,0.0
9,1993,-6.0,-5.0,-3.0,6.0,12.0,16.0,15.0,12.0,13.0,9.0,6.0,-2.0
10,1993,-1.0,-3.0,-2.0,6.0,11.0,15.0,12.0,14.0,11.0,11.0,5.0,0.0
11,1993,2.0,-5.0,-1.0,5.0,11.0,13.0,11.0,17.0,12.0,12.0,7.0,-4.0
12,1993,-1.0,-4.0,1.0,6.0,8.0,13.0,8.0,14.0,13.0,14.0,3.0,-5.0
13,1993,0.0,-4.0,4.0,5.0,7.0,13.0,10.0,15.0,10.0,13.0,2.0,0.0
14,1993,-2.0,-6.0,3.0,6.0,7.0,13.0,14.0,14.0,7.0,7.0,3.0,0.0
15,1993,-3.0,-1.0,-1.0,3.0,11.0,11.0,17.0,17.0,10.0,4.0,2.0,-2.0
16,1993,-5.0,-4.0,0.0,5.0,9.0,18.0,16.0,16.0,11.0,10.0,-3.0,-1.0
17,1993,-2.0,-6.0,5.0,2.0,9.0,11.0,20.0,16.0,14.0,10.0,-4.0,-2.0
18,1993,-3.0,-4.0,5.0,7.0,10.0,11.0,17.0,16.0,14.0,11.0,-4.0,-3.0
19,1993,-3.0,-1.0,5.0,5.0,15.0,14.0,15.0,17.0,14.0,10.0,-7.0,-2.0
20,1993,-4.0,-2.0,3.0,11.0,11.0,14.0,14.0,16.0,15.0,7.0,-2.0,-1.0
21,1993,-4.0,-2.0,9.0,6.0,9.0,17.0,13.0,17.0,14.0,5.0,-5.0,-4.0
22,1993,-2.0,-3.0,9.0,5.0,8.0,16.0,9.0,18.0,15.0,5.0,-5.0,-6.0
23,1993,-1.0,-3.0,7.0,8.0,10.0,15.0,11.0,18.0,14.0,7.0,-2.0,-5.0
24,1993,1.0,-5.0,6.0,10.0,13.0,12.0,15.0,17.0,14.0,7.0,-2.0,-7.0
25,1993,-5.0,-5.0,3.0,10.0,13.0,15.0,14.0,16.0,11.0,3.0,-1.0,-6.0
26,1993,-5.0,-5.0,0.0,7.0,20.0,10.0,14.0,17.0,9.0,2.0,-3.0,-3.0
27,1993,-6.0,-2.0,2.0,12.0,13.0,16.0,16.0,15.0,9.0,0.0,-3.0,-11.0
28,1993,-4.0,None,-1.0,11.0,11.0,13.0,17.0,8.0,7.0,-1.0,-5.0,-9.0
29,1993,-5.0,None,-1.0,11.0,11.0,14.0,18.0,7.0,6.0,0.0,-6.0,-8.0
30,1993,-4.0,None,-3.0,None,16.0,None,16.0,12.0,None,1.0,None,-9.0
31,1997,-3.0,-4.0,-1.0,6.0,8.0,9.0,9.0,15.0,13.0,8.0,-2.0,2.0
32,1997,-3.0,-7.0,2.0,2.0,8.0,9.0,13.0,10.0,17.0,11.0,0.0,-1.0
33,1997,0.0,-6.0,2.0,4.0,8.0,8.0,16.0,13.0,15.0,12.0,0.0,4.0
34,1997,1.0,-6.0,4.0,8.0,8.0,13.0,12.0,16.0,14.0,9.0,-2.0,-2.0
35,1997,0.0,0.0,7.0,2.0,14.0,14.0,15.0,18.0,16.0,7.0,6.0,-2.0
36,1997,0.0,-3.0,8.0,2.0,8.0,13.0,14.0,17.0,16.0,12.0,7.0,-6.0
37,1997,-1.0,-4.0,3.0,4.0,7.0,15.0,12.0,19.0,17.0,15.0,9.0,-7.0
38,1997,-3.0,-3.0,0.0,4.0,6.0,18.0,14.0,17.0,15.0,16.0,7.0,-5.0
39,1997,-1.0,-4.0,-1.0,-1.0,5.0,16.0,14.0,15.0,16.0,12.0,5.0,-4.0
40,1997,-2.0,-2.0,2.0,4.0,9.0,18.0,16.0,17.0,14.0,15.0,5.0,-2.0
41,1997,0.0,-3.0,-1.0,3.0,10.0,18.0,16.0,17.0,13.0,7.0,7.0,-3.0
42,1997,0.0,1.0,0.0,8.0,12.0,17.0,14.0,17.0,16.0,8.0,5.0,-1.0
43,1997,-2.0,3.0,2.0,2.0,11.0,17.0,14.0,18.0,16.0,7.0,3.0,-2.0
44,1997,-2.0,1.0,6.0,2.0,11.0,16.0,18.0,15.0,12.0,6.0,-2.0,-2.0
45,1997,-2.0,0.0,4.0,2.0,12.0,16.0,16.0,17.0,7.0,-1.0,-2.0,-2.0
46,1997,-1.0,-1.0,3.0,0.0,13.0,15.0,16.0,16.0,8.0,1.0,-2.0,-1.0
47,1997,-4.0,-3.0,3.0,-1.0,13.0,17.0,18.0,17.0,8.0,0.0,-3.0,-3.0
48,1997,-5.0,-5.0,5.0,-1.0,11.0,16.0,12.0,16.0,10.0,2.0,-3.0,0.0
49,1997,-6.0,-1.0,6.0,0.0,10.0,14.0,12.0,15.0,10.0,2.0,-1.0,0.0
50,1997,0.0,-1.0,0.0,6.0,11.0,13.0,12.0,16.0,10.0,3.0,-2.0,3.0
51,1997,1.0,-3.0,2.0,4.0,11.0,14.0,10.0,14.0,15.0,9.0,-2.0,3.0
52,1997,1.0,-2.0,-2.0,3.0,11.0,13.0,11.0,13.0,11.0,10.0,-1.0,5.0
53,1997,0.0,-2.0,0.0,2.0,8.0,11.0,15.0,14.0,9.0,9.0,1.0,4.0
54,1997,-1.0,3.0,6.0,1.0,11.0,10.0,18.0,16.0,10.0,7.0,0.0,0.0
55,1997,-1.0,4.0,3.0,2.0,12.0,8.0,18.0,15.0,8.0,-1.0,3.0,1.0
56,1997,-1.0,5.0,3.0,8.0,13.0,13.0,18.0,17.0,8.0,-2.0,-1.0,3.0
57,1997,-2.0,5.0,3.0,9.0,15.0,12.0,14.0,18.0,7.0,0.0,-1.0,0.0
58,1997,-2.0,0.0,3.0,7.0,14.0,13.0,15.0,18.0,6.0,-4.0,4.0,-1.0
59,1997,-3.0,None,2.0,9.0,5.0,14.0,13.0,13.0,12.0,-5.0,5.0,-2.0
60,1997,-4.0,None,2.0,7.0,6.0,11.0,12.0,12.0,9.0,-5.0,6.0,-4.0
61,1997,-4.0,None,0.0,None,7.0,None,13.0,10.0,None,1.0,None,-5.0
62,2001,-4.0,-2.0,-1.0,3.0,10.0,14.0,17.0,19.0,12.0,13.0,7.0,0.0
63,2001,-3.0,-6.0,-1.0,4.0,9.0,11.0,15.0,17.0,11.0,14.0,1.0,4.0
64,2001,-4.0,-6.0,0.0,3.0,11.0,9.0,15.0,19.0,10.0,12.0,-1.0,2.0
65,2001,0.0,-6.0,2.0,8.0,10.0,6.0,19.0,18.0,13.0,11.0,-1.0,2.0
66,2001,-2.0,-2.0,6.0,6.0,11.0,9.0,19.0,19.0,13.0,10.0,3.0,1.0
67,2001,0.0,-1.0,5.0,4.0,11.0,12.0,20.0,18.0,12.0,12.0,3.0,-1.0
68,2001,1.0,4.0,5.0,6.0,12.0,9.0,17.0,15.0,9.0,15.0,2.0,3.0
69,2001,2.0,3.0,6.0,5.0,11.0,15.0,15.0,17.0,11.0,13.0,7.0,-4.0
70,2001,2.0,4.0,4.0,6.0,12.0,16.0,18.0,18.0,12.0,9.0,5.0,-6.0
71,2001,1.0,3.0,5.0,2.0,11.0,14.0,17.0,18.0,8.0,10.0,2.0,-5.0
72,2001,2.0,2.0,6.0,7.0,10.0,10.0,15.0,14.0,7.0,10.0,5.0,-5.0
73,2001,0.0,-1.0,7.0,8.0,9.0,8.0,20.0,10.0,7.0,10.0,5.0,-7.0
74,2001,0.0,0.0,6.0,5.0,8.0,9.0,19.0,13.0,5.0,10.0,8.0,-8.0
75,2001,-4.0,0.0,5.0,2.0,15.0,12.0,17.0,14.0,9.0,9.0,3.0,-6.0
76,2001,-7.0,-2.0,1.0,0.0,13.0,12.0,18.0,14.0,7.0,9.0,-2.0,-7.0
77,2001,-7.0,-1.0,6.0,7.0,13.0,14.0,16.0,16.0,6.0,9.0,-2.0,-10.0
78,2001,-8.0,-3.0,7.0,4.0,15.0,13.0,17.0,17.0,4.0,8.0,-5.0,-11.0
79,2001,-2.0,1.0,5.0,1.0,15.0,10.0,13.0,17.0,3.0,9.0,-3.0,-10.0
80,2001,-3.0,0.0,9.0,8.0,8.0,13.0,16.0,16.0,7.0,9.0,-2.0,-10.0
81,2001,-1.0,0.0,6.0,4.0,7.0,12.0,14.0,16.0,8.0,14.0,-5.0,-10.0
82,2001,-4.0,-2.0,6.0,3.0,12.0,9.0,13.0,16.0,9.0,11.0,-6.0,-6.0
83,2001,-3.0,8.0,10.0,4.0,12.0,12.0,12.0,14.0,10.0,7.0,-5.0,-8.0
84,2001,0.0,0.0,7.0,3.0,16.0,13.0,13.0,15.0,13.0,7.0,1.0,-8.0
85,2001,1.0,0.0,6.0,2.0,15.0,16.0,17.0,17.0,13.0,10.0,-5.0,-7.0
